,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
10,The Guns of Navarone,MOVIE,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,,"['GB', 'US']",158,,,,,,,,,,,,,The Guns of Navarone,Movie,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,,,158 min,"United Kingdom, United States",Netflix,,,
11,The Professionals,MOVIE,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,PG-13,['US'],117,,,,,,,,,,,,,The Professionals,Movie,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,PG-13,,117 min,United States,Netflix,,,
12,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,R,['US'],78,,,,,,,,,,,,,Richard Pryor: Live in Concert,Movie,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,R,,78 min,United States,Netflix,,,
13,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,['US'],115,,,,,,,,,,,,,White Christmas,Movie,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,,115 min,United States,Netflix,,,
14,Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,,['EG'],77,,,,,,,,,,,,,Cairo Station,Movie,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,,,77 min,Egypt,Netflix,,,
15,Hitler: A Career,MOVIE,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,['DE'],150,,,,,,,,,,,,,Hitler: A Career,Movie,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,,150 min,Germany,Netflix,,,
16,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,['US'],97,,,,,,,,,,,,,FTA,Movie,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,,97 min,United States,Netflix,,,
17,Alexandria… Why?,MOVIE,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,,['EG'],133,,,,,,,,,,,,,Alexandria… Why?,Movie,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,,,133 min,Egypt,Netflix,,,
18,The Land,MOVIE,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1969,,['EG'],129,,,,,,,,,,,,,The Land,Movie,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1969,,,129 min,Egypt,Netflix,,,
19,Dostana,MOVIE,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",1980,,['IN'],161,,,,,,,,,,,,,Dostana,Movie,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",1980,,,161 min,India,Netflix,,,
